Film,Rating,Year
The Informant,3.75,2009
The International,3.25,2009
The Limits Of Control,3.0,2009
The Maiden Heist,2.25,2009
The Merry Gentleman,3.0,2009
The Messenger,3.5,2009
The Road,3.5,2009
The Secret Of Their Eyes,4.0,2009
The Taking Of Pelham 123,2.75,2009
This Is It,3.0,2009
three monkeys,2.0,2009
Trucker,3.0,2009
Tulpan,3.5,2009
Up,4.0,2009
Up In The Air,3.75,2009
Wendy And Lucy,3.5,2009
Whatever Works,3.5,2009
Whip It,3.25,2009
Zombieland,3.25,2009
21,3.0,2008
A Girl Cut In Two,2.75,2008
Appaloosa,3.5,2008
"Be Kind, Rewind",3.5,2008
Before The Rains,2.75,2008
Bottle Shock,3.0,2008
Burn After Reading,3.0,2008
Cadillac Records,3.5,2008
Chop Shop,3.5,2008
City Of Men,2.75,2008
Control,3.0,2008
Days And Clouds,3.25,2008
"Definitely, Maybe",3.0,2008
Eagle Eye,2.5,2008
Encounters At The End Of The World,3.5,2008
Finding Amanda,2.75,2008
Flash Of Genius,3.0,2008
Flawless,2.75,2008
Forgetting Sarah Marshall,3.25,2008
Frost/Nixon,3.75,2008
Frozen River,3.75,2008
Goya's Ghosts,2.25,2008
Gran Torino,3.75,2008
Hamlet 2,3.25,2008
Honeydripper,3.75,2008
In A Day,3.25,2008
In Bruges,3.5,2008
Indiana Jones And The Kingdom Of The Crystal Skull,3.0,2008
Irina Palm,3.25,2008
Iron Man,3.25,2008
I've Loved You So Long,3.5,2008
Leatherheads,3.0,2008
Let The Right One In,3.75,2008
Mamma Mia,1.75,2008
Man  On Wire,3.5,2008
Married Life,3.0,2008
Milk,3.75,2008
Miracle At St Anna,3.0,2008
Mrs Pettigrew Lives For A Day,3.0,2008
My Blueberry Nights,3.5,2008
My Winnipeg,2.5,2008
Outsourced,2.75,2008
Persepolis,3.5,2008
Pete Seeger: The Power of Song,3.5,2008
Pineapple Express,3.25,2008
Priceless,2.75,2008
Quantum Of Solace,2.0,2008
Rachel Getting Married,3.5,2008
Redbelt,3.0,2008
Righteous Kill,2.5,2008
RockNRolla,3.25,2008
Roman Polanski: Wanted And Desired,3.25,2008
Shine A Light,3.75,2008
Slumdog Millionaire,4.0,2008
Smart People,2.5,2008
Son Of Rambow,3.0,2008
SOP,3.25,2008
Soul Men,2.25,2008
Surfwise,3.5,2008
Tell No One,4.0,2008
Th4e Last Lear,3.25,2008
The Band's Visit,3.5,2008
The Bank Job,3.0,2008
The Counterfetiers,3.25,2008
The Dark Knight,3.75,2008
The Edge Of Heaven,3.75,2008
The Fall,3.5,2008
The Grocer's Son,3.0,2008
The Life Before Her Eyes,1.75,2008
The Lucky Ones,3.0,2008
The Nines,3.0,2008
The Other Boleyn Girl,2.5,2008
The Pope's Toilet,3.0,2008
The Reader,3.75,2008
The Secret Life Of Bees,3.25,2008
The Trap,3.0,2008
The Visitor,4.0,2008
The Wackness,2.0,2008
The Wrestler,3.75,2008
Toots,2.75,2008
Towelhead,1.25,2008
Traitor,3.25,2008
Transsiberian,2.75,2008
Tropic Thunder,3.5,2008
Trumbo,2.75,2008
Under The Bombs,3.25,2008
Vantage Point,2.75,2008
Vicki Christina Barcelona,3.75,2008
W.,3.5,2008
Wall-E,3.75,2008
"War, Inc.",2.5,2008
Zach And Miri Make A Porno,3.5,2008
12:08 East Of Bucharest,3.25,2007
3:10 To Yuma,3.25,2007
A Mighty Heart,3.25,2007
Adam's Apples,3.25,2007
Amazing Grace,3.25,2007
Amazing Journey: The Story Of The Who,2.5,2007
American Gangster,3.5,2007
Angel-A,2.5,2007
Arranged,3.75,2007
Atonement,4.0,2007
August Rush,3.0,2007
Away From Her,3.75,2007
Before The Devil Knows You're Dead,3.5,2007
Black Book,3.5,2007
Blame It On Fidel,3.5,2007
Breach,4.0,2007
Casandra's Dream,3.0,2007
Charlie Wilson's War,3.75,2007
Color Me Kubrick,3.25,2007
Death At A Funeral,2.5,2007
Delerious,3.25,2007
Diggers,3.0,2007
Eastern Promises,3.75,2007
Elizabeth: The Golden Age,3.0,2007
Enchanted,3.0,2007
Factory Girl,2.5,2007
Fay Grim,3.5,2007
Feast Of Love,2.5,2007
First Snow,2.5,2007
Fracture,3.25,2007
Fraulein,3.0,2007
Gone Baby Gone,3.75,2007
Harry Potter And The Order Of The Phoenix,3.25,2007
Helvetica,3.0,2007
Her Name Is Sabine,3.0,2007
Hoax,2.75,2007
Hot Fuzz,3.0,2007
I'm Not There,3.5,2007
In The Land Of Women,3.0,2007
In The Valley Of Elah,3.5,2007
Into The Wild,4.0,2007
Juno,3.75,2007
La Vie en Rose,4.0,2007
Le Grande Final,3.0,2007
Lights In he Dusk,2.75,2007
Live Free Or Die Hard,3.0,2007
Margot At The Wedding,3.0,2007
Michael Clayton,3.75,2007
Music And Lyrics,3.5,2007
My Best Friend,3.0,2007
Namastay London,3.25,2007
No Country For Old Men,3.75,2007
No reservations,3.0,2007
Noise,3.0,2007
Ocean's 13,3.0,2007
Offside,3.25,2007
Once,3.5,2007
Paprika,3.5,2007
Paris je t'aime,3.75,2007
Perfume,2.25,2007
Pierrepoint The Last Hangman,3.75,2007
Pirates Of The Caribbean: At World's End,2.5,2007
Ratatouille,3.75,2007
Red Road,3.25,2007
Rescue Dawn,3.5,2007
Shooter,2.75,2007
Shrek The Third,3.5,2007
Sicko,3.0,2007
Snowcake,2.75,2007
Spiderman 3,3.25,2007
Stardust,3.0,2007
Starting Out In The Evening,3.25,2007
Sunshine,2.5,2007
Sweeney Todd,3.0,2007
Talk To Me,3.5,2007
The Assassination Of Jesse Jame By The Coward Robert Ford,3.5,2007
The Astronaut Farmer,3.0,2007
The Boss Of It All,3.0,2007
The Bothersome Man,2.75,2007
The Bourne Ultimatum,3.75,2007
The Bow,3.5,2007
The Brave One,2.75,2007
The Bridge,3.25,2007
The Comedy Of Power,3.0,2007
The Darjeeling Limited,2.75,2007
The Hunting Party,3.0,2007
The Jane Austen Book Club,2.75,2007
The Kingdom,3.25,2007
The Lookout,3.75,2007
The Namesake,3.5,2007
The Nanny Diaries,2.75,2007
The Valet,3.0,2007
The Walker,3.5,2007
The Way I Spent The End Of The World,3.25,2007
The Wind That Shakes The Barley,3.25,2007
The Year Of The Dog,2.75,2007
There Will Be Blood,3.75,2007
Things We Lost In The Fire,3.0,2007
This is England,3.25,2007
Viva Cuba,3.5,2007
Waitress,3.0,2007
You Kill Me,3.25,2007
Zodiac,3.5,2007
10 Items Or Less,3.75,2006
16 Blocks,3.25,2006
49 Up,3.75,2006
A Good Year,2.5,2006
A Guide To Recognizing Your Saints,2.75,2006
A Prarie Home Companion,4.0,2006
A Scanner Darkly,3.0,2006
A Simple Curve,3.25,2006
After The Wedding,3.75,2006
Akkelah And The Bee,3.5,2006
American Dreamz,3.25,2006
American Gun,3.0,2006
Art School Confidential,2.75,2006
Ask The Dust,3.0,2006
Babel,3.25,2006
Beowulf & Grendel,2.25,2006
Billy Wilder Speaks,3.0,2006
Blood Diamond,3.5,2006
Borat,2.25,2006
Brick,3.5,2006
Bubble,3.5,2006
Cache,3.75,2006
Casino Royale,3.5,2006
Changing Times,3.25,2006
Children Of Men,4.0,2006
Clean,3.5,2006
Clerks 2,3.25,2006
Conversations With Other Women,3.5,2006
Copying Beethoven,2.75,2006
Day Break,3.25,2006
Days Of Glory,3.5,2006
Dead Man's Shoes,2.75,2006
Death Of A President,2.5,2006
dï¿½jï¿½ vu,3.25,2006
Don't Come Knocking,3.0,2006
Duck Season,3.25,2006
Edmond,3.0,2006
Familia,3.25,2006
Fast Food Nation,3.25,2006
Film Geek,3.5,2006
Find Me Guilty,2.5,2006
Firewall,2.75,2006
Flags Of Our Fathers,4.0,2006
For Your Consideration,3.0,2006
Free Zone,2.25,2006
Friends With Money,2.75,2006
half nelson,3.75,2006
Hard Candy,3.25,2006
Heading South,2.75,2006
Hollywoodland,2.5,2006
Idiocracy,2.25,2006
Infamous,3.75,2006
Inland Empire,2.0,2006
Inside Man,3.5,2006
Joyeaux Noel,3.5,2006
Kinky Boots,2.5,2006
Lady Vengeance,2.75,2006
Le Petit Lieutenant,3.0,2006
l'enfant,4.0,2006
Leonard Cohen I'm Your Man,2.5,2006
Letters From Iwo Jima,3.75,2006
Little Miss Sunshine,3.75,2006
Lonesome Jim,2.5,2006
Looking For Comedy In The Muslim World,2.25,2006
Lucky Number Slevin,3.0,2006
Man Push Cart,3.5,2006
Marie Antoinette,3.25,2006
Men At Work,2.75,2006
Miami Vice,2.25,2006
Mission Impossible 3,3.0,2006
Mongolian Ping Pong,3.0,2006
Monster Thursday,3.0,2006
My Sister Maria,2.75,2006
My Super Ex-Girlfriend,2.25,2006
Neil Young: Heart Of Gold,3.25,2006
Notes On A Scandal,4.0,2006
Old Joy,3.5,2006
Oscar Shorts,3.0,2006
Pans's Labyrinth,4.0,2006
Pirates Of The Caribean,2.5,2006
Quinceanera,3.25,2006
Riding Alone For Thousands Of Miles,3.0,2006
Running With Scissors,3.5,2006
Scoop,2.75,2006
Shadowboxer,2.75,2006
SherryBaby,3.0,2006
Shortbus,1.5,2006
Shut Up And Sing,3.0,2006
Sketches Of Frank Gehry,3.0,2006
Something New,3.75,2006
Stranger Than Fiction,3.5,2006
Tales Of The Rat Fink,2.5,2006
Talladega Nights,2.25,2006
Thank You For Smoking,3.75,2006
The Aura,3.5,2006
The Black Dahlia,2.25,2006
The Curse Of The Golden Flower,2.5,2006
The Dead Girl,325.0,2006
The Departed,4.0,2006
The Devil Wears Prada,3.25,2006
The Fountain,2.5,2006
The Good German,2.5,2006
The Heart Of The Game,3.75,2006
The Hidden Blade,3.5,2006
The Illusionist,3.5,2006
The King,3.0,2006
The Last King Of Scotland,3.5,2006
The Lives Of Others,4.0,2006
The Matador,3.75,2006
The Notorious Bettie Page,3.5,2006
The Oh in Oho,3.25,2006
The Prestige,4.0,2006
The Proposition,3.75,2006
The Queen,4.0,2006
The Sciece Of Sleep,2.75,2006
The Sentinel,2.75,2006
The Three Burials Of Melquiades Estrada,4.0,2006
The World's Fastest Indian,3.25,2006
This Picture Is Not Yet Rated,2.5,2006
time to leave,3.0,2006
Tristram Shandy,2.75,2006
United 93,4.0,2006
Unknown White Male,1.5,2006
V For Vendetta,3.75,2006
Venus,3.75,2006
Volver,3.5,2006
Wah-Wah,3.25,2006
Water,3.75,2006
Who's Camus Anyway?,2.25,2006
Winter Passing,3.5,2006
WordPlay,3.5,2006
Xmen 3,2.75,2006
2046,3.5,2005
3 Iron,3.0,2005
5X2,2.0,2005
9 Songs,1.0,2005
A History Of Violence,3.75,2005
A League Of Ordinary Gentleman,3.5,2005
Aaltra,2.5,2005
Agata And The Storm,3.0,2005
Alexandra's Project,3.0,2005
An Unfinished Life,3.25,2005
Antares,3.0,2005
Anytown. USA,3.25,2005
Around The Bend,2.5,2005
Batman Begins,4.0,2005
Beautiful Country,3.5,2005
Breakfast On Pluto,2.75,2005
Brokeback Mountain,4.0,2005
Broken Flowers,3.5,2005
Brothers,3.25,2005
Campfire,3.25,2005
Capote,3.5,2005
Casanova,2.75,2005
Crash,2.5,2005
Dear Frankie,3.75,2005
Domino,1.5,2005
Dot The I,3.5,2005
Downfall,3.5,2005
Duma,3.75,2005
El Crimen Perfecto,2.75,2005
Elizabethtown,2.25,2005
Enron The Smartest Guys In The Room,2.75,2005
Everything Is Illuminated,3.25,2005
Flightplan,3.0,2005
Good Night And Good Luck,3.75,2005
Grizzly Man,3.75,2005
Gunner Palace,3.0,2005
Harry Potter & The Goblet Of Fire,3.75,2005
Havoc,3.25,2005
Heights,3.25,2005
Howl's Moving Castle,3.75,2005
In Good Company,2.75,2005
In Her Shoes,3.5,2005
Inside Deep Throat,3.0,2005
Jarhead,3.0,2005
Junebug,3.5,2005
Keane,2.75,2005
King Kong,3.5,2005
King Of The Corner,2.5,2005
Kiss Kiss Bang Bang,3.0,2005
Kontroll,2.5,2005
Last Days,2.0,2005
Layer Cake,3.75,2005
Le Grand Voyage,3.0,2005
Lila Says,3.0,2005
Look At Me,3.25,2005
Lord Of War,3.0,2005
March Of the Penguins,3.0,2005
Match Point,4.0,2005
McLibel,3.0,2005
Me & You & Everyone We Know,3.25,2005
Melinda & Melinda,3.75,2005
Memoirs Of A Geisha,2.75,2005
Memories Of Murder,3.75,2005
Memory Of A Killer,3.5,2005
Millions,3.5,2005
"Milwaukee, Minnesota",3.25,2005
Mondovino,2.25,2005
Mr. And Mrs Smith,3.0,2005
Mrs. Henderson Presents,3.5,2005
Munich,3.75,2005
Murderball,4.0,2005
My Summer Of Love,3.25,2005
Mysterious Skin,3.75,2005
Nathalie,3.25,2005
Nine Lives,3.75,2005
November,2.75,2005
Off The Map,3.0,2005
Oldboy,2.25,2005
Oliver Twist,3.5,2005
Paradise Now,3.0,2005
Pretty Persuasion,2.75,2005
Pride & Prejudice,3.5,2005
Prime,2.5,2005
Proof,3.25,2005
Pure,3.0,2005
Reel Paradise,2.75,2005
Revenge Of The Sith,3.0,2005
Rumour Has It,3.0,2005
Saint Ralph,3.0,2005
Sarah Silverman: Jesus Is Magic,2.5,2005
Saving Face,2.75,2005
Schizo,3.0,2005
Schultze Gets The Blues,3.0,2005
Separate Lies,3.75,2005
Serenity,3.5,2005
Shopgirl,3.75,2005
Sin City,3.0,2005
Spare Parts,3.25,2005
Sympathy For Mr. Vengeance,2.75,2005
Syriana,3.75,2005
Tell Them Who You Are,3.75,2005
The Aristocrats,3.0,2005
The Ballad Of Jack And Rose,3.0,2005
The Beat That My Heart Skipped,3.25,2005
The Boys And Girl From County Clare,2.5,2005
The Brothers Grimm,3.25,2005
The Constant Gardener,4.0,2005
The Cutting Edge,3.0,2005
The Dying Gaul,2.5,2005
The Edukators,3.5,2005
The Family Stone,3.5,2005
The Forest For The Trees,3.25,2005
The Girl In The Cafï¿½,3.25,2005
The Great Raid,3.5,2005
The Hitchhiker's Guide To The Galaxy,2.0,2005
The Holy Girl,2.25,2005
The Ice Harvest,2.0,2005
The Interpreter,3.0,2005
The Island,3.0,2005
The Last Mogul: Lew Wasserman,2.5,2005
The Ninth Day,3.5,2005
"The Prizewinner of Defiance, Ohio",3.75,2005
The Squid & The Whale,3.5,2005
The Talent Given Us,2.25,2005
The Tunnel,3.75,2005
The Upside Of Anger,2.75,2005
The Weatherman,2.5,2005
The White Countess,3.5,2005
The White Diamond,3.0,2005
Thumbsucker,3.25,2005
Transamerica,3.5,2005
Turtles Can Fly,3.25,2005
Up & Down,3.25,2005
Walk On Water,3.75,2005
Walk The Line,3.75,2005
Wallace & Gromit The Curse Of The Were-Rabbit,3.5,2005
Watermarks,2.5,2005
Wheel Of Time,2.5,2005
Where The Truth Lies,3.25,2005
Wilby Wonderful,3.25,2005
Winter Solstice,3.0,2005
13 Going on 30,2.5,2004
2 Brothers & A Bride,2.75,2004
A Home At The End Of The World,3.5,2004
A Slipping Doen Life,2.5,2004
A Very Long Engagement,3.25,2004
After The Sunset,2.5,2004
Anchorman,1.0,2004
Bad Education,3.75,2004
Badasss,3.5,2004
Before Sunset,3.75,2004
Being Julia,3.5,2004
Beyond The Sea,1.5,2004
Bon Voyage,3.5,2004
Bright Leaves,3.25,2004
Bright Young Things,3.25,2004
Broken Wings,3.5,2004
Buddy,3.5,2004
Bus 174,2.5,2004
Carandiru,3.75,2004
Carol's Journey,3.0,2004
Cellular,3.25,2004
Chisholm '72,2.5,2004
Closer,3.5,2004
Code 46,3.0,2004
Coffee And Cigarettes,3.5,2004
Colateral,3.5,2004
Control Room,3.5,2004
Criminal,2.75,2004
Crimson Gold,3.5,2004
Danny Deckchair,3.0,2004
De-Lovely,3.75,2004
Dogville,2.75,2004
Eternal Sunshine Of The Spotless Mind,4.0,2004
Eurotrip,1.5,2004
Everyday People,3.0,2004
Facing Windows,3.5,2004
Farenheit 9/11,3.5,2004
Festival Express,3.5,2004
Finding Neverland,3.0,2004
Game Over Kasparove and the Machine,2.5,2004
Garden State,3.5,2004
Ghost In The Shell 2: Innocence,3.25,2004
Goodbye Lenin,3.0,2004
Grand Theft Parsons,2.5,2004
Harry Potter And The Prisoner Of Azkaban,4.0,2004
Head In The Clouds,3.25,2004
Hellboy,3.0,2004
Hotel Rwanda,3.5,2004
House Of Flying Daggers,3.5,2004
I'll Sleep When I'm Dead,2.75,2004
I'm Not Scared,3.5,2004
Intermission,3.25,2004
Intimate Strangers,3.25,2004
Japanese Story,3.5,2004
Jerrsey Girl,2.25,2004
Kill Bill Vol 2,3.75,2004
King Arthur,2.25,2004
Kinsey,3.5,2004
Kitchen Stories,3.25,2004
Lost Boys Of Sudan,2.75,2004
Man On Fire,2.5,2004
Maria Full Of Grace,3.5,2004
Mean Creek,3.25,2004
Mean Girls,3.0,2004
Metallica: Some Kind Of Monster,3.0,2004
Million Dollar Baby,4.0,2004
Monsieur Ibrahim,3.75,2004
Moolaade,3.5,2004
Morlang,3.0,2004
My Architect,2.25,2004
Napolean Dynamite,2.25,2004
Nicotina,2.0,2004
Noi,3.25,2004
Notre Musique,1.0,2004
Oceans' 12,3.0,2004
Open Water,3.0,2004
Osama,3.0,2004
P.S.,3.0,2004
Primer,3.0,2004
Ray,3.25,2004
Riding Giants,3.25,2004
Ripley's Game,3.5,2004
Saved,3.5,2004
Secret Things,2.5,2004
Seducing Dr. Lewis,2.75,2004
Shaolin Soccer,2.75,2004
She Hate Me,2.5,2004
Shrek 2,3.5,2004
Sideways,4.0,2004
Silver City,3.0,2004
Since Otar Left,3.25,2004
Sky Captain And The World Of Tomorrow,3.0,2004
Spanglish,3.0,2004
Spartan,3.0,2004
Spiderman 2,2.75,2004
"Spring,Summer,Fall,Winter,ï¿½ Spring",3.5,2004
Springtime In A Small Town,2.75,2004
Stage Beauty,3.5,2004
Stander,3.0,2004
Story Of The Weeping Camel,3.5,2004
Strayed,3.25,2004
Tarnation,2.5,2004
The Agronomist,3.25,2004
The Assassination Of Richard Nixon,3.25,2004
The Aviator,3.75,2004
The Big Bounce,2.25,2004
The Bourne Supremacy,3.5,2004
The Clearing,3.0,2004
The Day After Tomorrow,2.75,2004
The Dreamers,3.5,2004
The Five Obstructions,3.25,2004
The Incredibles,4.0,2004
The Ladykillers,2.75,2004
The Last Shot,3.5,2004
The Life Aquatic W/ Steve Zissou,2.75,2004
The Machinist,3.25,2004
The Manchurian Candidate,2.5,2004
The Mayor Of Sunset Strip,3.25,2004
The Middle Of The World,2.5,2004
The Motorcycle Diaries,3.25,2004
The Notebook,3.0,2004
The Rage In Placid Lake,3.0,2004
The Reckoning,2.75,2004
The Republic Of Love,2.75,2004
The Return,3.5,2004
The Saddest Music In The World,3.25,2004
The Snow Walker,2.75,2004
The Terminal,3.5,2004
The Twilight Samurai,3.5,2004
The United States Of Leland,3.0,2004
The Woodsman,3.5,2004
The Yes Men,2.5,2004
This So-Called Disaster,2.75,2004
Tiptoes,2.25,2004
Tokyo Godfathers,3.25,2004
Touch Of Pnk,3.0,2004
Touching The Void,3.75,2004
Twentrynine Palms,1.75,2004
Vera Drake,4.0,2004
Waking The Dead,2.5,2004
When Will I Be Loved,2.5,2004
Wilbur Wants To Kill Himself,3.25,2004
Wimbledon,3.0,2004
Wolves In The Snow,3.25,2004
Word Wars,3.0,2004
Young Adam,2.5,2004
Zhou Yu's Train,2.0,2004
21 grams,3.75,2003
28 Days Later,3.25,2003
A Decade Under The Influence,3.75,2003
A Mighty Wind,3.75,2003
A Peck On The Cheek,3.25,2003
A Problem With Fear,3.0,2003
All The Real Girls,3.25,2003
American Splendor,3.5,2003
And Now Ladies And Gentlemen,3.0,2003
Anything Else,3.0,2003
Assassination Tango,3.0,2003
Bad Santa,3.25,2003
Bend It Like Beckham,3.0,2003
Better Luck Tomorrow,3.75,2003
Big Fish,3.0,2003
"Blind Spot, Hitler's Secretary",3.25,2003
Blue Car,3.75,2003
Bubba Ho-Tep,3.25,2003
Buffalo Soldiers,2.75,2003
Calendar Girls,3.25,2003
Capturing The Friedmans,3.5,2003
Casa De Los Babys,3.5,2003
Chaos,3.5,2003
Cinemania,3.0,2003
City Of Ghosts,3.5,2003
City Of God,4.0,2003
Cold Mountain,3.5,2003
Confessions Of A Dangerous Mind,3.75,2003
Crime Spree,2.75,2003
Dirty Pretty Things,4.0,2003
Divine Intervention,2.25,2003
Dopamine,3.0,2003
Down With Love,3.25,2003
Dracula Pages From A Virgin's Diary,3.5,2003
Dummy,3.5,2003
"Easy Riders, Raging Bulls",3.0,2003
Elephant,3.25,2003
Elf,2.5,2003
Fellini: I'm A Born Liar,2.25,2003
Finding Nemo,3.5,2003
Freaky Friday,3.5,2003
Friday Night,2.25,2003
Garafe Days,3.0,2003
Gerry,2.75,2003
Ginger And Cinnamon,3.0,2003
Girl With A Pearl Earring,3.75,2003
"He Loves Me, He Loves Me Not",3.25,2003
Hollywood Homicide,2.25,2003
Hop,3.0,2003
House Of Fools,3.5,2003
House Of Sand And Fog,4.0,2003
I Capture The Castle,2.75,2003
Identity,2.75,2003
In America,4.0,2003
In The Cut,1.0,2003
In This World,3.5,2003
Intacto,3.5,2003
Intolerable Cruelty,3.5,2003
Irreversible,2.75,2003
It Runs In The Family,2.25,2003
Jet Lag,2.25,2003
Kal Ho Naa Ho,3.0,2003
Kill Bill Vol 1,3.5,2003
l'Auberge Espagnole,2.5,2003
Laurel Canyon,2.0,2003
Lawless Heart,3.25,2003
Le Divorce,2.0,2003
Levity,2.25,2003
Lilya 4Ever,3.0,2003
"Long Life, Prosperity and Happiness",2.5,2003
Looney Tunes: Back In Action,3.25,2003
Los Angeles Plays Itself,3.25,2003
Lost In La Mancha,3.0,2003
Lost In Translation,3.5,2003
LOTR: Return Of The King,4.0,2003
Love Actually,2.5,2003
Love The Hard Way,3.0,2003
"Love, Liza",1.5,2003
"Lucia, Lucia",2.5,2003
Man On A Train,3.75,2003
Manito,3.5,2003
Marion Bridge,3.5,2003
Marooned In Iraq,3.0,2003
Master & Commander: The Far Side Of The World,4.0,2003
Matchstick Men,3.0,2003
Max,3.5,2003
Millennium Actress,3.5,2003
Mona Lisa Smile,3.0,2003
Mondays In The Sun,2.5,2003
Monster,4.0,2003
Morvern Callar,2.75,2003
My Life Without Me,2.25,2003
Mystic River,4.0,2003
No Good Deed,3.0,2003
Northfork,3.0,2003
Once Upon A Time In The Midlands,3.25,2003
Open Range,3.0,2003
Oscar Shorts,3.0,2003
OT: Our Town,3.75,2003
Out Of Time,3.0,2003
Owning Mahowny,3.5,2003
People I Know,3.0,2003
Peter Pan,2.75,2003
Phone Booth,3.5,2003
Pieces Of April,3.0,2003
Pirates Of The Caribbean,3.0,2003
Prey For Rock And Roll,3.0,2003
Raising Victor Vargas,3.25,2003
Red White And Blonde,2.0,2003
Respiro,2.25,2003
Rivers And Tides,3.5,2003
Russian Ark,2.0,2003
School Of Rock,3.75,2003
Seabiscuit,3.5,2003
Shattered Glass,3.75,2003
Showtime,2.5,2003
Sister Helen,3.0,2003
Something's Gotta Give,3.0,2003
Step Into Liquid,2.25,2003
Stone Reader,3.0,2003
Sweet Sixteen,3.25,2003
Swimming Pool,3.25,2003
Taking Sides,3.25,2003
Ten,2.75,2003
Terminator 3,2.5,2003
The Barbarian Invasions,3.25,2003
The Bread My Sweet,2.25,2003
The Company,3.0,2003
The Cooler,3.75,2003
The Core,3.5,2003
The Cuckoo,3.5,2003
The Dancer Upstairs,3.25,2003
The Event,1.5,2003
The Flower Of Evil,3.25,2003
The Fog Of War,3.75,2003
The Good Thief,3.25,2003
The Guru,2.5,2003
The Guys,3.0,2003
The Hard Word,2.75,2003
The Heart Of Me,2.75,2003
The Housekeeper,3.5,2003
The Hulk,3.0,2003
The Human Stain,3.0,2003
The Hunted,2.75,2003
The Italian Job,3.0,2003
The Last Samurai,2.5,2003
The Magdalene Sisters,3.5,2003
The Matrix Reloaded,2.5,2003
The Matrix Revolutions,3.0,2003
The Party's Over,2.25,2003
The Recruit,2.75,2003
The Sea,3.0,2003
The Secret Lives Of Dentists,3.5,2003
The Shape Of Things,3.0,2003
The Singing Detective,3.0,2003
The Son,3.75,2003
The Statement,2.5,2003
The Station Agent,3.75,2003
The Triplets Of Belleville,4.0,2003
The Weather Underground,3.25,2003
thirteen,3.5,2003
To Be And To Have,3.5,2003
